,ENTITY,STORY,YEAR,ORGANISATION,METHOD OF LEAK,NO OF RECORDS STOLEN,DATA SENSITIVITY,SOURCE NAME
12,Texas Lottery,"Data on more than 89,000 lottery winners (including names, Social Security numbers, addresses and prize amounts )were taken from the agency without permission by a former computer analyst who copied the password-free data. The employee added he wanted the information ""for possible future reference as a programmer at other state agencies.""",2007,government,inside job,90000,20,ITRC
13,City and Hackney Teaching Primary Care Trust,Heavily encrypted disks containing details of children are lost by couriers.,2007,government,lost / stolen device,160000,20,
14,Gap Inc,"Stolen laptop which contained social security numbers, data on people who applied for positions at Gap stores, including Banana Republic and Old Navy, between July 2006 and June 2007.",2007,retail,lost / stolen device,800000,20,PC World
15,Compass Bank,"A former employee stole a hardrive containing 1m account details from the bank, then used it to defraud cutomers of nearly $32,000.",2007,financial,inside job,1000000,300,ITRC
16,Monster.com,"A trojan virus stole log-ins that were used to harvest user names, e-mail addresses, home addresses and phone numbers. Soon after phishing e-mails encouraged users to download a Monster Job Seeker Tool, which was in fact a program that encrypted files in their computer and left a ransom note demanding money for their decryption.

",2007,web,hacked,1600000,20,BBC
17,Driving Standards Agency,"Hard disk with details of candidates for the driving theory test was lost in a premises in Iowa by subcontractors. Only names, addresses and phone numbers. ",2007,government,lost / stolen device,3000000,20,
18,"Driving Standards Agency,",,2007,government,lost / stolen device,3000000,20,
19,Hannaford Brothers Supermarket Chain,An estimated 4.2 million credit and debit card numbers were stolen.,2007,retail,hacked,4200000,300,ITRC
20,TD Ameritrade,TD Ameritrade settled a class action lawsuit to compensate as many as 6.3 million TD Ameritrade customers whose data was stolen by hackers costing the Nebraska online brokerage firm less than $2 per victim.,2007,financial,hacked,6300000,1,Wired
21,Fidelity National Information Services,,2007,financial,inside job,8500000,300,
22,Dai Nippon Printing,"A former contractor of Dai Nippon Printing Company in Tokyo, Japan stole 8.6 million records containing the personal data of customers of 43 of the company's clients. ",2007,retail,inside job,8600000,1,USA Today
23,UK Revenue & Customs,A set of discs containing confidential details of 25 million child benefit recipients was lost.,2007,government,lost / stolen device,25000000,1,BBC News
24,TK / TJ Maxx,"Hackers hacked a Minnesota store wifi network and stole data from credit and debit cards of shoppers at off-price retailers TJX, owners of nearly 2,500 stores, including T.J. Maxx and Marshalls. This case is believed to be the largest such breach of consumer information.",2007,retail,hacked,94000000,300,ZD Net
25,Service Personnel and Veterans Agency (UK),Stolen USBs containing personal information about private lives of staff. ,2008,government,lost / stolen device,50000,20,
26,Stanford University,"Tens of thousands of past and current Stanford University employees had personal information - including their dates of birth, Social Security numbers and home addresses - stored on the hard drive of a stolen university laptop.",2008,academic,lost / stolen device,72000,20,ITRC
27,UK Home Office,"PA Consulting lost an unencrypted memory stick containing details of high risk, prolific and other offenders.",2008,government,lost / stolen device,84000,20,
28,AT&T,"A laptop was stolen from a car containing unencrypted Social
Security numbers and bonus/salary info of AT&T employees.",2008,telecoms,lost / stolen device,100000,1,ITRC
29,Starbucks,"A laptop was stolen that contained private information on 97,000 employees, including names, addresses and Social Security numbers. Employees tried to sue Starbucks in California winning their case in the appeals court before losing in the higher federal court as they were unable to prove any cognizable harm or injury.",2008,retail,lost / stolen device,100000,20,ITRC
30,RBS Worldpay,"The hack primarily effected U.S. prepaid and the gift card issuing business of RBS Worldpay. Actual fraud has been committed on approximately 100 cards.  Certain personal information of approximately 1.5 million cardholders and other individuals may have been affected and, of this group, Social Security numbers of 1.1 million people may have been accessed.",2008,financial,hacked,1500000,20,The Register
31,Jefferson County,"""Jefferson County Clerk Jennifer Maghan said she unveiled a new online search tool that enabled residents and business professionals to access nearly 1.6 million documents that are stored in her office via their home computers""",2008,government,accidentally published,1600000,20,ITRC
32,UK Ministry of Defence,"Hard drive containing very sensitive details of Armed Forces personnel - passport & national insurance numbers, bank details etc - went missing. Loss was revealed during National Identity Fraud Prevention Week. ",2008,government,lost / stolen device,1700000,50000,
33,University of Miami,"Thieves stole a briefcase containing data tapes out of a vehicle used by a private off-site storage company. Anyone who had been a patient of a University of Miami physician or visited a UM facility since 1999 is likely included on the tapes. The data included names, addresses, Social Security numbers and health information. 47,000 of these records may have included credit card or other financial information regarding bill payment.",2008,academic,lost / stolen device,2100000,300,ITRC
34,University of Utah Hospitals & Clinics,The data tapes were stolen by petty thieves from an employee's car. According to police reports the thieves tried - and failed - to view the tapes using a VHS player.,2008,academic,lost / stolen device,2200000,4000,ITRC
35,Norwegian Tax Authorities,"""Tax authorities said they had accidentally sent CD-ROMs filled with the 2006 tax returns of nearly four million people living in Norway, a country of 
just 4.6 million inhabitants, to the editorial staff at national 
newspapers, radios and television stations.""",2008,government,accidentally published,4000000,20,Info Watch
36,Data Processors International,,2008,financial,hacked,5000000,1,CNN
37,Chile Ministry Of Education,A computer hacker in Chile published confidential records belonging to six million people to illustrate the weakness of their security. ,2008,government,hacked,6000000,1,BBC News
38,GS Caltex,"Two multimedia discs containing the names, social security numbers, addresses, cell phone numbers, email addresses and workplaces of Korean customers sorted by age were stolen. They were found by an office worker in a backstreet’s trash pile in Seoul. Experts say a GS Caltex employee likely stole the information for personal purposes given there were no signs of hacking.",2008,energy,inside job,11100000,20,Data Loss Database
39,BNY Mellon Shareowner Services,"A back-up tape, containing over 12 million customers records were lost.",2008,financial,lost / stolen device,12500000,1,ITRC
40,Auction.co.kr,,2008,web,hacked,18000000,300,
41,US Dept of Defense,"""According to a report to Congress, assessment forms of 72,000 service members who returned from deployment to Iraq or Afghanistan between Jan 1, 2007 to May 31, 2008 were breached. The forms ask for the service member's SSN,. Name, date of birth.""",2009,military,lost / stolen device,72000,20,ITRC
42,US National Guard,"About 131,000 former and current Army Guard members potentially affected  when a personal laptop owned by an Army Guard contractor was stolen. Database incuded names, Social Security Numbers, incentive payment amounts and payment dates.",2009,military,lost / stolen device,130000,20,ITRC
43,University of California Berkeley,,2009,academic,hacked,160000,300,ITRC
44,"Affinity Health Plan, Inc.",A rented photocopier used to copy health records did not have its hard-drive wiped before its return. ,2009,healthcare,lost / stolen device,300000,4000,
45,Virginia Prescription Monitoring Program,"A hacker, who was never arrested, demanded a $10 million ransom for a breach effecting 530,000 Virginians. Social security numbers may have been taken. The data was found in a database containing 35 million prescription records.",2009,healthcare,hacked,500000,20,ITRC
46,Network Solutions,"A large-scale infection of WordPress-driven blogs with malicious code led to the compromise of 573,000 debit and credit cards.",2009,tech,hacked,600000,300,ITRC
47,Blue Cross Blue Shield of Tennessee,"A thief stole 57 hard drives from the closet of a BlueCross call center in Chattanooga, Tenn. Data on the stolen hard drives was encoded but not encrypted. Bluecross stated there was no evidence the information was accessed due to the specialized nature of the hardware stolen. ",2009,healthcare,lost / stolen device,1000000,20,ITRC
48,"AvMed, Inc.","Two company laptops containing names, addresses, dates of birth, Social Security numbers and health-related information. ",2009,healthcare,lost / stolen device,1200000,20,
49,Health Net ,A portable hard drive with seven years of personal and medical information on about 1.5 million Health Net customers was lost for six months before being reported. ,2009,healthcare,lost / stolen device,1500000,4000,ITRC
50,CheckFree Corporation,Customers who went to CheckFree's Web sites between 12:35 a.m. and 10:10 a.m. on the day of the attack were redirected to a Ukrainian Web server that used malicious software to try and install a password-stealing program on the victim's computer.,2009,financial,hacked,5000000,1,Computer World
51,Virginia Dept. Of Health,An extortion demand posted on WikiLeaks sought $10 million to return over 8 million patient records and 35 million prescriptions allegedly stolen from Virginia Department of Health Professions.  All 36 servers were shut down  to protect records.,2009,"government, healthcare",hacked,8300000,4000,ITRC
52,RockYou!,"The site did not allow users to use special characters or punctuation in their passwords and e-mailed user passwords in plain text. Hackers took advantage of these security lapses, using simple techniques to gain access to 32 million user accounts.",2009,"web, gaming",hacked,32000000,1,Tech Crunch
53,US Military,"Without first destroying the data the agency sent back a defective unencrypted hard drive for repair and recycling which held detailed records on 76 million veterans, including millions of Social Security numbers dating to 1972.",2009,military,lost / stolen device,76000000,20,ITRC
54,Heartland,"The biggest credit card scam in history, Heartland eventually paid more than $110 million to Visa, MasterCard, American Express and other card associations to settle claims related to the breach.",2009,financial,hacked,130000000,300,Guardian
55,Yale University,,2010,academic,accidentally published,40000,20,ITRC
56,AT&T,"Details of iPad 3G users hacked from AT&T website, thought to include those of White House chief of staff Rahm Emanuel.",2010,telecoms,hacked,100000,1,Guardian
57,Colorado government,,2010,healthcare,lost / stolen device,100000,20,
58,Lincoln Medical & Mental Health Center,"130,495 patients lost their protected health information after seven CDs were lost in transit.",2010,healthcare,lost / stolen device,130000,4000,
59,"Ankle & foot Center of Tampa Bay, Inc.","The information hacked included information such as patient names, social security numbers, date of birth, home addressees, account numbers, and healthcare services and related diagnostic codes.",2010,healthcare,hacked,160000,4000,
60,"Emergency Healthcare Physicians, Ltd.","The stolen portable hard drive is believed to have contained records from 2003 to 2006 that included patient names, addressees, phone numbers, birth dates, Social Security numbers, and, in some cases, drivers' license numbers.",2010,healthcare,lost / stolen device,180000,4000,
61,"Seacoast Radiology, PA","Computer gamers hacked a server at Seacoast Radiology in Rochester in search of more bandwidth in November to play Call of Duty: Black Ops. In the process they also gained access to personal records of the more than 230,000 patients of the health center.",2010,healthcare,hacked,200000,20,
62,Embassy Cables,Wikileaks,2010,government,inside job,300000,50000,
63,US Military,WIKILEAKS!,2010,military,inside job,300000,50000,Guardian
64,US Federal Reserve Bank of Cleveland,"A Malaysian man has been charged with hacking into major U.S. corporations, including the U.S. Federal Reserve Bank of Cleveland and FedComp after U.S. Secret Service investigators found more than ""400,000 stolen credit and debit card account numbers allegedly obtained by hacking into various computer systems of other financial institutions""",2010,financial,hacked,400000,300,ITRC
65,Classified Iraq War documents,Wikileaks,2010,government,inside job,400000,20,
66,"Triple-S Salud, Inc.",,2010,healthcare,lost / stolen device,400000,4000,
67,Puerto Rico Department of Health,"Double whammy. Two separate breaches. On September 3rd, 2010 data on 115,000 people was stolen from unauthorized access of an electronic device, on the 21st they reported an additional 400,000 records were hacked. ",2010,healthcare,hacked,500000,4000,
68,Ohio State University,,2010,academic,hacked,800000,20,ITRC
69,"South Shore Hospital, Massachusetts","South Shore Hospital hired a contractor to destroy files no longer in use and lost the shipment. The back-up computer files possibly contained names, addresses, phone numbers, dates of birth, Social Security numbers, driver’s license numbers, medical record numbers, patient numbers, health plan information, protected health information including diagnoses and treatments. As well as bank account and credit card numbers for some. Patients, employees, physicians, volunteers, donors, vendors and other business partners were effected. ",2010,healthcare,lost / stolen device,800000,50000,ITRC
70,Gawker.com,"Hacked. 1.5 Million usernames, emails, passwords taken.",2010,web,hacked,1500000,20,Guardian
71,New York City Health & Hospitals Corp.,,2010,healthcare,lost / stolen device,1700000,4000,
72,Betfair,"Betfair waited 18 months to report the breach of their online gambling site, alarming banking institutions and security experts. Betfair's systems breach, which occurred in March and April 2010, was not uncovered until this past May, when a server crashed.",2010,web,hacked,2300000,300,ITRC
73,JP Morgan Chase,"In 2007, the personal information of approximately 2.6 million current and former holders of a Chase-Circuit City credit card had been mistakenly identified as trash and thrown out in garbage bags outside five branch offices in New York.",2010,financial,lost / stolen device,2600000,300,ITRC
74,Educational Credit Management Corp,"A contractor for the US Department of Education stole the records of 3.3 million people. Data included names, addresses, Social Security numbers and dates of birth of borrowers, but no financial or bank account information.",2010,financial,lost / stolen device,3300000,20,ITRC
75,Morgan Stanley Smith Barney,Morgan Stanley mailed a CD containing sensitive data about investors in tax-exempt funds and bonds to the New York State Department of Taxation and Finance. The package arrived at the building but when it arrived at the relevant desk the data CD was missing.,2011,financial,lost / stolen device,35000,300,ITRC
76,US Army,,2011,military,accidentally published,50000,1,ITRC
77,Writerspace.com,"Hacker group LulzSec released the e-mails and passwords, 12,000 of which were confirmed to originate from Writerspace.com. ",2011,web,hacked,62000,1,PC Mag
78,University of Wisconsin - Milwaukee,,2011,academic,hacked,73000,20,
79,Memorial Healthcare System,"An employee of an affiliated physician’s office may have improperly accessed patient information through a web portal used by physicians who provide care and treatment at MHS. Specifically, patients’ names, dates of birth, and Social Security numbers.",2011,healthcare,lost / stolen device,100000,20,
80,US Law Enforcement,"""AntiSec"" hackers published 2,719 social security numbers, 8,214 passwords, 15,798 birth dates, 48,182 street addresses, 1,531,628 email addresses, 106,691 phone numbers, 57 bank account numbers, 53 driver's license numbers, and eight credit card numbers of more than 70 different U.S. law enforcement agencies.",2011,government,hacked,130000,300,PC World
81,San Francisco Public Utilities Commission ,,2011,government,hacked,180000,1,
82,Accendo Insurance Co. ,"Mismailed letters which allowed some lines of sensitive information (medication name, date of birth, and member ID) to be visible through the envelope window. The mailings were addressed correctly and, to the knowledge of the company, were received by the intended recipients.",2011,healthcare,poor security,180000,20,
83,Bethesda Game Studios,"Hacking collective Lulzsec stole account information of 200,000 user.",2011,gaming,hacked,200000,1,PC World
84,Restaurant Depot,,2011,retail,hacked,200000,300,ITRC
85,Massachusetts Government,"Over 1,500 departmental computers were infected with the W32.QAKBOT virus, a malicious program which “downloads additional files, steals information, and opens a back door on the compromised computer”. ",2011,government,hacked,200000,50000,ITRC
86,Southern California Medical-Legal Consultants,"Electronic files containing names and social security numbers of approximately 300,000 individuals who have applied for California workers’ compensation benefits had been exposed to unauthorized access.",2011,healthcare,hacked,300000,20,
87,Honda Canada,"Names, addresses and vehicle identification numbers were taken from the company’s eCommerce websites myHonda and myAcura",2011,retail,hacked,300000,20,
88,Citigroup,"Less than 1% of Citbank card holders' names, account numbers, and contact information such as e-mail addresses were stolen. Card security codes were not stolen. ",2011,financial,hacked,400000,300,PC World
89,Spartanburg Regional Healthcare System,"The stolen computer contained a password-protected file with Social Security numbers as well as names, addresses, dates of birth and medical billing codes.",2011,healthcare,lost / stolen device,400000,4000,
90,Eisenhower Medical Center,"Stolen computer contained data listing patients' names, ages, dates of birth, medical record numbers and the last four digits of their social security numbers.",2011,healthcare,lost / stolen device,500000,4000,
91,Stratfor,"Hacking collective Anonymous defaced the website of Stratfor and posted a file online of the organization’s confidential client list, along with credit card details, passwords and home addresses for those clients. They released 47,680 unique e-mail addresses and 50,277 unique credit card numbers — 9,651 of which were not yet expired. Of the stolen encrypted passwords, 50% were easily crackable. ",2011,military,hacked,900000,300,NY Times
92,Sony Pictures,"LulzSec hacking collective stated all of the information it took was unencrypted, “Sony stored over 1,000,000 passwords of its customers in plaintext."" More than 1 million user accounts were compromised. An additional 75,000 music codes and 3.5 million coupons were also uncovered.",2011,web,hacked,1000000,1,Mashable
93,Oregon Department of Motor Vehicles,"Sheriff's detectives arrested Tim Nuss for accessing an old Oregon Department of Motor Vehicles database. The DMV database was once sold to marketing companies, but the department stopped selling the information in the late 1990s. The sold data include the names, addresses, birth dates, gender and ages of people who registered with the DMV, but no financial information.  ",2011,government,hacked,1000000,20,ITRC
94,Nemours Foundation,A health care organization that runs children’s hospitals reported the loss of 1.05 million records when data backup tapes were lost.,2011,healthcare,lost / stolen device,1100000,4000,
95,Sega,"Information stolen during the hack includes names, birth dates, e-mail addresses and passwords from Sega Pass, a system for users interested in newsletters and for registering certain products. ",2011,gaming,hacked,1300000,20,ZD Net
96,Washington Post,Unknown hackers broke into The Washington Post's jobs website stealing about 1.27 million user IDs and email addresses.,2011,media,hacked,1300000,20,PC Mag
97,Health Net - IBM,"Several server drives, containing personal information of former and current employees, went missing.",2011,healthcare,lost / stolen device,1900000,300,ITRC
98,Countrywide Financial Corp,mortgage lender,2011,financial,inside job,2500000,20,
99,State of Texas,"3.5 million records were accidentally published online including people's names, mailing addresses, social security numbers, and in some cases dates of birth and driver's license numbers.",2011,government,accidentally published,3500000,20,Information Week
100,Sutter Medical Foundation,"A password protected but unencrypted company computer was stolen. The compromised database contained names, addresses, dates of birth, phone numbers, email addresses, medical record numbers and the name of each patient's health insurance plan. No medical records were stored on the computer.",2011,healthcare,lost / stolen device,4200000,20,
101,Tricare,"The information for some 4.6 million active and retired military personnel, as well as their families, was on back up-tapes from an electronic health care record used to capture and preserve patient data from 1992 through September 7 2011. ",2011,"military, healthcare",lost / stolen device,4900000,4000,ITRC
102,China Software Developer Network,,2011,web,hacked,6000000,1,
103,NHS,A laptop holding the unencrypted records of eight million patients went missing from an NHS store room and wasn't reported until 3 weeks later. ,2011,healthcare,lost / stolen device,8300000,4000,Tech Week
104,178.com,gaming website,2011,web,hacked,10000000,1,
105,Nexon Korea Corp,game developer,2011,web,hacked,13200000,20,
106,Sony Online Entertainment,"Hacked by LulzSec. In addition to the Sony Playstation Network breach, compromised 77 million records. More than 23,000 lost financial data, according to Sony.",2011,gaming,hacked,24600000,300,Computer World
107,Tianya,blogging site,2011,web,hacked,28000000,1,
108,Steam,The Valve Corporation,2011,web,hacked,35000000,300,
109,Sony PSN,"Rounding off a thoroughly unhappy year for Sony, their third breach saw the loss of 76,000,000 Sony PSN and Qriocity user accounts to hacking collective Lulzsec.",2011,gaming,hacked,77000000,1,Mashable
110,Dropbox,,2012,web,hacked,30000,1,
111,Militarysingles.com,"Collective group LulzSec released a database of 163,792 names, usernames, e-mail addresses, IP addresses, and passwords of ""single"" military personnel.",2012,"web, military",hacked,180000,1,PC World
112,South Carolina Government,"A man was charged with five counts of violating medical confidentiality laws and one count of disclosure of confidential information after he gained access to personal information for more than 228,000 Medicaid beneficiaries.",2012,healthcare,inside job,200000,4000,
113,Emory Healthcare,"The company 'misplaced' 10 discs containing sensitive information, including social security numbers. ",2012,healthcare,lost / stolen device,300000,4000,
114,Formspring,"Formspring was tipped off to a breach after 420,000 hashed passwords were posted to a security forum. ",2012,web,hacked,400000,1,
115,Yahoo Voices,"Yahoo Voices service was hacked, exposing more than 450,000 usernames and passwords.",2012,"tech, web",hacked,500000,1,Slashdot
116,Medicaid,"The Utah Department of Technology Services had recently moved their claims records to a new server, and hackers believed to be operating out of Eastern Europe were able to circumvent the server’s multi-layered security system containing Social Security numbers for the Medicaid claims.",2012,"government, healthcare",hacked,800000,20,ITRC
117,California Department of Child Support Services,California child support records were lost in transit during a disaster preparedness exercise.,2012,government,lost / stolen device,800000,20,ITRC
118,Global Payments,1.5 million credit card numbers from its systems may have been exposed after detecting “unauthorized access” into its processing system. ,2012,financial,hacked,1500000,300,ITRC
119,New York State Electric & Gas,An employee from a software consulting firm was allowed unauthorized access to the company’s databases.,2012,energy,inside job,1800000,20,ITRC
120,Three Iranian banks,"After finding a security vulnerability in Iran's banking system, software manager Khosrow Zarefarid
 wrote a formal report and sent it to the CEOs of all the affected banks across the country. When the banks ignored his findings, he hacked 3 million bank accounts, belonging to at least 22 different banks, to prove his point.",2012,financial,hacked,3000000,50000,ZD Net
121,Office of the Texas Attorney General,The office of Texas Attorney General Greg Abbott mistakenly gave attorneys access to millions of Social Security numbers in a case against the state’s voter ID law,2012,government,accidentally published,6500000,20,
122,"LinkedIn, eHarmony, Last.fm","Hacker 'dwdm' uploaded a file containing 6.5 million passwords on a Russian hacker forum. Soon after another 1.5 million passwords were discovered.  On analysis, 93% of the passwords could be found in the Top 10,000 password list.",2012,web,hacked,8000000,1,
123,Gamigo,German gaming website,2012,web,hacked,8000000,1,
124,KT Corp.,"Two suspects reportedly earnt an estimated $877,000 by selling the contact information and plan details of 8.7 million KT subscribers, almost half of the carrier's total customers.",2012,telecoms,hacked,8700000,20,
125,Greek government,"A computer programmer was arrested in Greece for allegedly stealing the identity information of what could amount to 83% of the country's population. The 35-year-old was found in possession of 9 million data files containing identification card data, addresses, tax ID numbers and licence plate numbers, which he was also suspected of trying to sell.",2012,government,hacked,9000000,20,Wired
126,"""Apple""","Hacking group AntiSec claimed they hacked an FBI laptop in March 2012 accessing a file of more than 12 million Apple Unique Device Identifiers (UDIDs). Subsequently, it was discovered that app developer BlueToad was the source of the breach. The list contained personal information such as full names, phone numbers and addresses. AntiSec published a million of these UDIDs online.",2012,"tech, retail",accidentally published,12400000,20,
127,Blizzard,"Scrambled passwords, e-mail addresses, and personal security answers were knowingly stolen from Blizzard's internal network. Blizzard would not elaborate on the size of the hack (""millions""). ",2012,gaming,hacked,14000000,20,
128,Zappos,,2012,web,hacked,24000000,20,
129,Last.fm,"Historical 2012 hack, details have only just been disclosed.",2012,web,hacked,43500000,1,
130,Dropbox,"User credentials were stolen in a 2012 hack, but the number affected has only just come to light. ",2012,web,hacked,68700000,1,
131,Massive American business hack,"Over eight years, a hacking ring targeted banks, payment processors and chain stores, to steal more than 160 million credit and debit card numbers, targeting more than 800,000 bank accounts ",2012,financial,hacked,160000000,50000,
132,Court Ventures,"A Vietnamese identity theft service was sold personal records, including Social Security numbers, credit card data and bank account information, by Court Ventures, a company now owned by data brokerage firm Experian.",2012,financial,inside job,200000000,20,NY Times / Experian
133,LinkedIn,Information about a 2012 data breach has just come to light. ,2012,web,hacked,117000000,1,
134,South Carolina State Dept. of Revenue,A server was breached by an international hacker.,2012,government,hacked,3600000,3,
135,Central Hudson Gas & Electric,Customer banking information and other personal information may have been accessed during the hack.,2013,energy,hacked,100000,300,Privacy Rights
136,"Crescent Health Inc., Walgreens","Names, Social Security numbers, health insurance identification numbers, health insurance information, dates of birth, diagnoses, other medical information, disability codes, addresses, and phone numbers may have been exposed via a laptop theft.",2013,healthcare,lost / stolen device,100000,4000,Privacy Rights
137,Florida Courts,,2013,government,lost / stolen device,100000,20,Privacy Rights
138,Florida Department of Juvenile Justice,"Three computers were stolen that contained both youth and employee records was reported stolen on January 2, 2013.  Over 100,000 records were on the device and may have been exposed.",2013,government,lost / stolen device,100000,20,Privacy Rights
139,Kirkwood Community College,,2013,academic,hacked,130000,20,Privacy Rights
140,Citigroup,"Third big data breach from Citigroup.""The personal information of 150,000 consumers who went into bankruptcy between 2007 and 2011 – including their social security numbers – were exposed after Citi failed to properly redact court records before they were put on the Public Access to Court Electronic Records (PACER) system.""",2013,financial,accidentally published,150000,20,
141,Indiana University,Students who attended the university between 2011 and 2014 may have had their data exposed after it was stored on an unprotected site. The data was accessed by three webcrawlers but there is not evidence it was accessed by any unauthorized individuals.,2013,academic,poor security,150000,20,Indiana University
142,Washington State court system,"Up to 160,000 Social Security numbers and a million driver's license numbers may have been accessed by hackers exploiting old versions of Adobe Cold Fusion software on the server. ",2013,government,hacked,160000,20,Reuters; Privacy Rights
143,TerraCom & YourTel,"The telecom firms TerraCom and YourTel have branded reporters for Scripps News as ""hackers"" after journalists discovered that the personal data of over 170,000 customers - including social security numbers and other identifying data that could be used for identity theft - were sitting on a publicly accessible server.",2013,telecoms,accidentally published,180000,20,Boing Boing; Wired
144,Nintendo,"Japan's Club Nintendo service was hacked following thousands of unauthorized accesses. Customer information compromised in the attack includes full names, phone numbers, home and email addresses.",2013,gaming,hacked,250000,20,
145,Twitter,"Hackers had access to limited user information -- usernames, email addresses, session tokens and encrypted/salted versions of passwords -- for approximately 250,000 users.",2013,web,hacked ,250000,1,Wired
146,Apple,"Developer portal hacked. ""Some"" information about 275,000 3rd-party developers potentially stolen.",2013,tech,hacked,300000,1,
147,OVH,,2013,web,hacked,500000,20,
148,Scribd,Hack resulted in a few hundred thousand stolen passwords.,2013,web,hacked,500000,1,Naked Security; NBC News
149,Drupal,"Malicious files placed on association.drupal.org servers via a 3rd-party application. Exposed usernames, e-mail addresses, country information, and cryptographically hashed passwords.",2013,web,hacked,1000000,1,Ars Technica
150,NMBS,"Data stored on a non-secure server, making it possible to access names, gender, DOB, email and postal address data of customers externally by means of a simple search engine query. Most of the data belong to customers in Belgium, France and the UK, including thousands of Commission and Parliament employees.  Caused, the NMBS said, by a data worker “clicking on the wrong button”.",2013,transport,accidentally published,1500000,20,European Parliament
151,National Security Agency,"Snowden downloaded up to 1.5 million files, then flew to Hong Kong to meet journalists Glenn Greenwald and Laura Poitras before fleeing to Moscow. ",2013,government,inside job,1500000,50000,
152,Kissinger Cables,Wikileaks,2013,government,inside job,1700000,300,
153,Ubuntu,July 2013: Discussion forum for the operating system was compromised leaking personal details and password. The passwords were cryptographically scrambled using the MD5 hashing algorithm - considered an inadequate means of protecting stored passwords by security experts.,2013,tech,hacked,2000000,300,Data Loss Database
154,Vodafone,An IT contractor for the firm used his deep access to the telecom giant's system to copy customer names and bank account details.,2013,telecoms,inside job,2000000,300,Security Week
155,ssndob.ms,"SSNDOB was an underground identity theft service. Teenage hackers used it to collect data for exposed.su, a site that listed the SSNs, birthdays, phone numbers, current and previous addresses for dozens of top celebrities including Beyonce, Kanye West and Michelle Obama. In doing so they revealed SSNDOB had data on more than 4 million people.",2013,web,hacked,4000000,20,Krebs on Security
156,Advocate Medical Group,"4,000,000 patient names, addresses, dates of birth, and Social Security numbers were contained in four computers stolen from an administrative building. Second biggest security breach ever reported to the Department of Health and Human Services (HHS).",2013,healthcare,lost / stolen device,4000000,20,
157,SnapChat,"31st Dec 2013. Hackers abused an exploit to syphon 4.7m user details, including phone numbers.  Check here to see if your account was compromised: http://lookup.gibsonsec.org/",2013,"web, tech",hacked,4700000,20,
158,Facebook,"Using the network's ""Download Your Information"" tool, some Facebook members were inadvertently sent the phone numbers or email address of Facebook friends that were otherwise private. Facebook assured users that the bug was fixed within a day, and that there is no evidence that the information was used maliciously.",2013,web,accidentally published,6000000,1,
159,Yahoo Japan,22 million Yahoo user IDs may have been leaked after Yahoo detected an unauthorized attempt to access the administrative system of its web portal Yahoo Japan. The leaked information did not include passwords and data necessary for identity verification to reset passwords.,2013,"tech, web",hacked,22000000,1,Reuters
