,ENTITY,STORY,YEAR,ORGANISATION,METHOD OF LEAK,NO OF RECORDS STOLEN,DATA SENSITIVITY,SOURCE NAME
98,Spartanburg Regional Healthcare System,"The stolen computer contained a password-protected file with Social Security numbers as well as names, addresses, dates of birth and medical billing codes.",2011,healthcare,lost / stolen computer,400000,4000,
99,State of Texas,"3.5 million records were accidentally published online including people's names, mailing addresses, social security numbers, and in some cases dates of birth and driver's license numbers.",2011,government,accidentally published,3500000,20,Information Week
100,Steam,The Valve Corporation,2011,web,hacked,35000000,300,
101,Stratfor,"Hacking collective Anonymous defaced the website of Stratfor and posted a file online of the organizationâ€™s confidential client list, along with credit card details, passwords and home addresses for those clients. They released 47,680 unique e-mail addresses and 50,277 unique credit card numbers â€” 9,651 of which were not yet expired. Of the stolen encrypted passwords, 50% were easily crackable. ",2011,military,accidentally published,935000,300,NY Times
102,Sutter Medical Foundation,"A password protected but unencrypted company computer was stolen. The compromised database contained names, addresses, dates of birth, phone numbers, email addresses, medical record numbers and the name of each patient's health insurance plan. No medical records were stored on the computer.",2011,healthcare,lost / stolen computer,4243434,20,
103,Tianya,blogging site,2011,web,hacked,28000000,1,
104,Tricare,"The information for some 4.6 million active and retired military personnel, as well as their families, was on back up-tapes from an electronic health care record used to capture and preserve patient data from 1992 through September 7 2011. ",2011,"military, healthcare",lost / stolen computer,4901432,4000,ITRC
105,University of Wisconsin - Milwaukee,,2011,academic,hacked,"73,000",20,
106,US Army,,2011,military,accidentally published,50000,1,ITRC
107,US Law Enforcement,"""AntiSec"" hackers published 2,719 social security numbers, 8,214 passwords, 15,798 birth dates, 48,182 street addresses, 1,531,628 email addresses, 106,691 phone numbers, 57 bank account numbers, 53 driver's license numbers, and eight credit card numbers of more than 70 different U.S. law enforcement agencies.",2011,government,accidentally published,123461,300,PC World
108,Washington Post,Unknown hackers broke into The Washington Post's jobs website stealing about 1.27 million user IDs and email addresses.,2011,media,hacked,1270000,20,PC Mag
109,Writerspace.com,"Hacker group LulzSec released the e-mails and passwords, 12,000 of which were confirmed to originate from Writerspace.com. ",2011,web,hacked,62000,1,PC Mag
110,Court Ventures,"A Vietnamese identity theft service was sold personal records, including Social Security numbers, credit card data and bank account information, by Court Ventures, a company now owned by data brokerage firm Experian.",2012,financial,inside job,200000000,5,NY Times / Experian
111,"""Apple""","Hacking group AntiSec claimed they hacked an FBI laptop in March 2012 accessing a file of more than 12 million Apple Unique Device Identifiers (UDIDs). Subsequently, it was discovered that app developer BlueToad was the source of the breach. The list contained personal information such as full names, phone numbers and addresses. AntiSec published a million of these UDIDs online.",2012,"tech, retail",accidentally published,12367232,20,
112,Blizzard,"Scrambled passwords, e-mail addresses, and personal security answers were knowingly stolen from Blizzard's internal network. Blizzard would not elaborate on the size of the hack (""millions""). ",2012,gaming,hacked,14000000,20,
113,California Department of Child Support Services,California child support records were lost in transit during a disaster preparedness exercise.,2012,government,lost / stolen media ,800000,20,ITRC
114,Dropbox,,2012,web,hacked,"30,000",1,
115,Emory Healthcare,,2012,healthcare,poor security,315000,4000,
116,Formspring,"Formspring was tipped off to a breach after 420,000 hashed passwords were posted to a security forum. ",2012,web,accidentally published,420000,4000,
117,Gamigo,German gaming website,2012,web,hacked,8000000,1,
118,Global Payments,1.5 million credit card numbers from its systems may have been exposed after detecting â€œunauthorized accessâ€ù into its processing system. ,2012,financial,hacked,1500000,300,ITRC
119,Greek government,"A computer programmer was arrested in Greece for allegedly stealing the identity information of what could amount to 83% of the country's population. The 35-year-old was found in possession of 9 million data files containing identification card data, addresses, tax ID numbers and licence plate numbers, which he was also suspected of trying to sell.",2012,government,hacked,9000000,20,Wired
120,KT Corp.,"Two suspects reportedly earnt an estimated $877,000 by selling the contact information and plan details of 8.7 million KT subscribers, almost half of the carrier's total customers.",2012,telecoms,hacked,8700000,20,
121,"LinkedIn, eHarmony, Last.fm","Hacker 'dwdm' uploaded a file containing 6.5 million passwords on a Russian hacker forum. Soon after another 1.5 million passwords were discovered.  On analysis, 93% of the passwords could be found in the Top 10,000 password list.",2012,web,accidentally published,8000000,4000,
122,Massive American business hack,"Over eight years, a hacking ring targeted banks, payment processors and chain stores, to steal more than 160 million credit and debit card numbers, targeting more than 800,000 bank accounts ",2012,financial,hacked,160000000,50000,
123,Medicaid,"The Utah Department of Technology Services had recently moved their claims records to a new server, and hackers believed to be operating out of Eastern Europe were able to circumvent the serverâ€™s multi-layered security system containing Social Security numbers for the Medicaid claims.",2012,"government, healthcare",hacked,780000,20,ITRC
124,Militarysingles.com,"Collective group LulzSec released a database of 163,792 names, usernames, e-mail addresses, IP addresses, and passwords of ""single"" military personnel.",2012,"web, military",accidentally published,163792,4000,PC World
125,New York State Electric & Gas,An employee from a software consulting firm was allowed unauthorized access to the companyâ€™s databases.,2012,energy,inside job,1800000,20,ITRC
126,Office of the Texas Attorney General,,2012,government,accidentally published,6500000,20,
127,South Carolina Government,"A man was charged with five counts of violating medical confidentiality laws and one count of disclosure of confidential information after he gained access to personal information for more than 228,000 Medicaid beneficiaries.",2012,healthcare,inside job,"228,435",4000,
128,Three Iranian banks,"After finding a security vulnerability in Iran's banking system, software manager Khosrow Zarefarid wrote a formal report and sent it to the CEOs of all the affected banks across the country. When the banks ignored his findings, he hacked 3 million bank accounts, belonging to at least 22 different banks, to prove his point.",2012,financial,hacked,3000000,50000,ZD Net
129,Yahoo Voices,"Yahoo Voices service was hacked, exposing more than 450,000 usernames and passwords.",2012,"tech, web",hacked,450000,1,Slashdot
130,Zappos,,2012,web,hacked,24000000,20,
131,Adobe,"Sep 17th 2013. Hackers obtained access to a large swathe of Adobe customer IDs and encrypted passwords & removed sensitive information (i.e. names, encrypted credit or debit card numbers, expiration dates, etc.). Approximately 36 million Adobe customers were involved: 3.1 million whose credit or debit card information was taken and nearly 33 million active users whose current, encrypted passwords were in the database taken. Correction Jan 2015: we previously reported 152m records were taking, but the remainder affected invalid, inactive, test accounts or had out-of-date passwords associated with them.",2013,tech,hacked,36000000,50000,
132,Advocate Medical Group,"4,000,000 patient names, addresses, dates of birth, and Social Security numbers were contained in four computers stolen from an administrative building. Second biggest security breach ever reported to the Department of Health and Human Services (HHS).",2013,healthcare,lost / stolen media,"4,000,000",20,
133,Apple,"Developer portal hacked. ""Some"" information about 275,000 3rd-party developers potentially stolen.",2013,tech,hacked,275000,1,
134,Central Hudson Gas & Electric,Customer banking information and other personal information may have been accessed during the hack.,2013,energy,hacked,110000,300,Privacy Rights
135,Citigroup,"Third big data breach from Citigroup.""The personal information of 150,000 consumers who went into bankruptcy between 2007 and 2011 â€“ including their social security numbers â€“ were exposed after Citi failed to properly redact court records before they were put on the Public Access to Court Electronic Records (PACER) system.""",2013,financial,poor security,"150,000",20,
136,"Crescent Health Inc., Walgreens","Names, Social Security numbers, health insurance identification numbers, health insurance information, dates of birth, diagnoses, other medical information, disability codes, addresses, and phone numbers may have been exposed via a laptop theft.",2013,healthcare,lost / stolen computer,100000,4000,Privacy Rights
137,Drupal,"Malicious files placed on association.drupal.org servers via a 3rd-party application. Exposed usernames, e-mail addresses, country information, and cryptographically hashed passwords.",2013,web,hacked,1000000,1,Ars Technica
138,Evernote,"Evernote asked its 50 million users to reset their passwords following an attempt to hack the note-taking network. The company said itâ€™d found no evidence that any payment information for Evernote Premium or Evernote Business customers had been accessed, nor was there any indication that content stored by users had been accessed, changed or lost.",2013,web,hacked,50000000,1,Wired; Digital Trends
139,Facebook,"Using the network's ""Download Your Information"" tool, some Facebook members were inadvertently sent the phone numbers or email address of Facebook friends that were otherwise private. Facebook assured users that the bug was fixed within a day, and that there is no evidence that the information was used maliciously.",2013,web,accidentally published,6000000,1,
140,Florida Courts,,2013,government,lost / stolen computer,100000,20,Privacy Rights
141,Florida Department of Juvenile Justice,"Three computers were stolen that contained both youth and employee records was reported stolen on January 2, 2013.  Over 100,000 records were on the device and may have been exposed.",2013,government,lost / stolen computer,"100,000",20,Privacy Rights
142,Indiana University,Students who attended the university between 2011 and 2014 may have had their data exposed after it was stored on an unprotected site. The data was accessed by three webcrawlers but there is not evidence it was accessed by any unauthorized individuals.,2013,academic,poor security,146000,20,Indiana University
143,Kirkwood Community College,,2013,academic,hacked,125000,20,Privacy Rights
144,Kissinger Cables,Wikileaks,2013,government,inside job,1700000,300,
145,Living Social,"Online criminals gained access to user names, e-mail addresses, dates of birth & encrypted passwords for 50 million people. Databases storing financial information were not compromised in the attack, the company said.",2013,web,hacked,50000000,4000,Naked Security; New York Times
146,Nintendo,"Japan's Club Nintendo service was hacked following thousands of unauthorized accesses. Customer information compromised in the attack includes full names, phone numbers, home and email addresses.",2013,gaming,hacked,239326,20,
147,NMBS,"Data stored on a non-secure server, making it possible to access names, gender, DOB, email and postal address data of customers externally by means of a simple search engine query. Most of the data belong to customers in Belgium, France and the UK, including thousands of Commission and Parliament employees.  Caused, the NMBS said, by a data worker â€œclicking on the wrong buttonâ€ù.",2013,transport,accidentally published,1460000,20,European Parliament
148,OVH,,2013,web,hacked,500000,20,
149,Scribd,Hack resulted in a few hundred thousand stolen passwords.,2013,web,hacked,500000,1,Naked Security; NBC News
150,SnapChat,"31st Dec 2013. Hackers abused an exploit to syphon 4.7m user details, including phone numbers.  Check here to see if your account was compromised: http://lookup.gibsonsec.org/",2013,"web, tech",hacked,4700000,20,
151,South Africa police,"Hacker collective 'Anonymous' hacked an anonymous whistleblowing website run by the South Africa Police Service (SAPS), revealing the identities of thousands of its users. The hack was in response to the massacre of 34 protesting miners at Marikana in August 2012.",2013,government,hacked ,16000,20,Wired
152,ssndob.ms,"SSNDOB was an underground identity theft service. Teenage hackers used it to collect data for exposed.su, a site that listed the SSNs, birthdays, phone numbers, current and previous addresses for dozens of top celebrities including Beyonce, Kanye West and Michelle Obama. In doing so they revealed SSNDOB had data on more than 4 million people.",2013,web,hacked,4000000,2,Krebs on Security
153,TerraCom & YourTel,"The telecom firms TerraCom and YourTel have branded reporters for Scripps News as ""hackers"" after journalists discovered that the personal data of over 170,000 customers - including social security numbers and other identifying data that could be used for identity theft - were sitting on a publicly accessible server.",2013,telecoms,accidentally published,170000,20,Boing Boing; Wired
154,Twitter,"Hackers had access to limited user information -- usernames, email addresses, session tokens and encrypted/salted versions of passwords -- for approximately 250,000 users.",2013,web,hacked ,250000,1,Wired
155,UbiSoft,,2013,gaming,hacked,58000000,20,
156,Ubuntu,July 2013: Discussion forum for the operating system was compromised leaking personal details and password. The passwords were cryptographically scrambled using the MD5 hashing algorithm - considered an inadequate means of protecting stored passwords by security experts.,2013,tech,hacked,2000000,300,Data Loss Database
157,Vodafone,An IT contractor for the firm used his deep access to the telecom giant's system to copy customer names and bank account details.,2013,telecoms,inside job,2000000,300,Security Week
